# lag(days), confidence level (95.0%)
-45.0,0.4299703680000007
-40.0,0.302193364
-35.0,0.3301326855000006
-30.0,0.30743327300000006
-25.0,0.3191283195000002
-20.0,0.3471094095000001
-15.0,0.3422082275000001
-10.0,0.3326414095000001
-5.0,0.25033031850000004
0.0,0.2051657280000001
5.0,0.26126050150000024
10.0,0.266227182
15.0,0.276746
20.0,0.29887522750000006
25.0,0.2694231830000002
30.0,0.288666182
35.0,0.31925904550000006
40.0,0.3489925005000001
45.0,0.3161020455
50.0,0.2876720455
